iter	MultiClass
0	1.606093239
1	1.487561389
2	1.386101224
3	1.306450811
4	1.236810389
5	1.183066095
6	1.139676102
7	1.101030124
8	1.065276083
9	1.034248047
10	1.010401419
11	0.9884770652
12	0.9653971835
13	0.9483292746
14	0.9352900327
15	0.922627474
16	0.9104680516
17	0.8983980159
18	0.8861848079
19	0.8748758228
20	0.8637936271
21	0.8559447764
22	0.8488838621
23	0.8430136316
24	0.8367302476
25	0.8326167534
26	0.8275348485
27	0.8232486612
28	0.81824323
29	0.8122607631
30	0.8095982884
31	0.8051768698
32	0.7994171188
33	0.7955594839
34	0.7916161491
35	0.7883588233
36	0.7860732578
37	0.7846169844
38	0.7831510339
39	0.7829105239
40	0.7816394533
41	0.7788279908
42	0.7772863376
43	0.7749041342
44	0.7734643084
45	0.7726131797
46	0.7725720913
47	0.771740028
48	0.7707101839
49	0.7697630671
50	0.7677677144
51	0.7661907004
52	0.7651690337
53	0.763420581
54	0.7627330691
55	0.761922418
56	0.7609098994
57	0.7595044135
58	0.7584231387
59	0.7573934834
60	0.7568398058
61	0.755180055
62	0.7548787063
63	0.7548720777
64	0.754870576
65	0.7543078901
66	0.7537250982
67	0.7528747897
68	0.7526044728
69	0.7525740334
70	0.7523192062
71	0.7511997928
72	0.7507491226
73	0.749857889
74	0.7492577094
75	0.748416516
76	0.7468409735
77	0.7453492369
78	0.7448043254
79	0.7438226995
80	0.7437768362
81	0.7422737723
82	0.7420178556
83	0.7413929741
84	0.7404917206
85	0.7403994781
86	0.7397816444
87	0.7394544915
88	0.7392300457
89	0.7392300389
90	0.7392300334
91	0.7387830239
92	0.7383538183
93	0.7379281676
94	0.7377385176
95	0.7374389327
96	0.7374185891
97	0.736461872
98	0.7364618675
99	0.7359534401
100	0.7359496063
101	0.7353310805
102	0.7349358645
103	0.7349092067
104	0.7343505552
105	0.7342370291
106	0.7336197249
107	0.7333751367
108	0.7323442025
109	0.7320494033
110	0.7309618088
111	0.7307275385
112	0.7300961423
113	0.7298717246
114	0.728854244
115	0.7279470519
116	0.7276847922
117	0.7270259852
118	0.7267946038
119	0.7253216166
120	0.7248837583
121	0.7230825453
122	0.7221316126
123	0.7211386143
124	0.7201530163
125	0.7192270052
126	0.7178931633
127	0.7169634861
128	0.7162814514
129	0.7156507621
130	0.7145088487
131	0.7137351267
132	0.7127722633
133	0.7114888289
134	0.7106221665
135	0.7097488276
136	0.7086194625
137	0.7075199534
138	0.70688337
139	0.7061763168
140	0.7054892039
141	0.7040667068
142	0.7026736835
143	0.7017559345
144	0.701161621
145	0.7004409131
146	0.6994181917
147	0.6987747756
148	0.6983192698
149	0.6972866956
150	0.6958234184
151	0.6955493359
152	0.6951429605
153	0.6949062641
154	0.6939948163
155	0.6932651102
156	0.6922063747
157	0.690847737
158	0.6899744651
159	0.6889011802
160	0.6881545959
161	0.6877743384
162	0.6870029926
163	0.6862371598
164	0.6854233727
165	0.6847297616
166	0.6839533693
167	0.6829797514
168	0.6817718056
169	0.6806101982
170	0.679851513
171	0.6790245015
172	0.6788254315
173	0.6780704869
174	0.6771081712
175	0.6763621152
176	0.6757111571
177	0.6747237448
178	0.6736518571
179	0.6730141643
180	0.6720993286
181	0.6717856576
182	0.6709477852
183	0.6703150288
184	0.6697398098
185	0.6691063314
186	0.6686597599
187	0.6683691695
188	0.6679891326
189	0.6672469933
190	0.6667659188
191	0.6658671145
192	0.6649965468
193	0.6644171805
194	0.6635645583
195	0.6630435146
196	0.6624095305
197	0.6620304818
198	0.6614353866
199	0.6605694575
200	0.6599830022
201	0.6588998829
202	0.6580076065
203	0.6571893735
204	0.6559883716
205	0.6554188041
206	0.6547455805
207	0.6539226386
208	0.6532300866
209	0.6526332273
210	0.6518687808
211	0.650991159
212	0.6504896389
213	0.6495403049
214	0.6488452202
215	0.6482623025
216	0.6472804922
217	0.6464093259
218	0.6455919897
219	0.644794284
220	0.6440498317
221	0.6435421449
222	0.6429303727
223	0.6419711917
224	0.6413663869
225	0.6403707604
226	0.6398799933
227	0.6393677793
228	0.6387164527
229	0.638283599
230	0.6378012533
231	0.637174262
232	0.6364191529
233	0.6357082144
234	0.6348495734
235	0.6339317871
236	0.6337559523
237	0.6331804919
238	0.6328869731
239	0.6324765527
240	0.6319825042
241	0.631283902
242	0.6303733828
243	0.6298497836
244	0.6294088848
245	0.6287396045
246	0.628243165
247	0.6275079431
248	0.6268911496
249	0.6264618707
250	0.6259369254
251	0.6251948828
252	0.6246228605
253	0.624093486
254	0.6231932951
255	0.6224397012
256	0.6220964077
257	0.621128358
258	0.6207713471
259	0.6204097683
260	0.6201354405
261	0.6192006232
262	0.6186708837
263	0.6183032046
264	0.6178254799
265	0.6171542019
266	0.6168007169
267	0.6163950756
268	0.6158626996
269	0.6151860912
270	0.6147807134
271	0.6142599015
272	0.6137569901
273	0.6133547552
274	0.6129000134
275	0.6124864021
276	0.6119951758
277	0.6112360128
278	0.6108632106
279	0.6107026215
280	0.6099261034
281	0.6096439413
282	0.6091657144
283	0.6090135403
284	0.6082022035
285	0.607673677
286	0.607464644
287	0.6069554721
288	0.6065026891
289	0.6060989583
290	0.6053011938
291	0.6045237115
292	0.6040931686
293	0.6034847659
294	0.6029465117
295	0.6025070256
296	0.6021507449
297	0.6017430207
298	0.6010102441
299	0.6002984603
300	0.5997196911
301	0.5990432561
302	0.5983948921
303	0.5980860525
304	0.5977861782
305	0.5967597739
306	0.596260577
307	0.5954291601
308	0.5948074353
309	0.5942386266
310	0.593875569
311	0.5933995979
312	0.5927099101
313	0.592262851
314	0.591999867
315	0.5913291687
316	0.5907071571
317	0.5903250777
318	0.5899046799
319	0.5894572609
320	0.5890559595
321	0.5883354183
322	0.5878250004
323	0.5875306791
324	0.5871477274
325	0.5868613005
326	0.5860270859
327	0.5853333508
328	0.585085205
329	0.5842398051
330	0.583739259
331	0.5832056256
332	0.5826940579
333	0.582385887
334	0.582073898
335	0.5814006212
336	0.5810223094
337	0.5805400584
338	0.5799808432
339	0.5796528964
340	0.5788943284
341	0.5784591063
342	0.5777342016
343	0.5771760431
344	0.5768156973
345	0.5762855206
346	0.5759650746
347	0.5753386929
348	0.5749016709
349	0.5746574152
350	0.5742390745
351	0.5739815192
352	0.5732403038
353	0.5728133221
354	0.5723796542
355	0.572069366
356	0.5716577968
357	0.5707019424
358	0.5699018423
359	0.5692318496
360	0.5690994674
361	0.5686078311
362	0.5680089599
363	0.5673805194
364	0.5669591823
365	0.5664008318
366	0.5658789848
367	0.5652560671
368	0.5650772247
369	0.564742695
370	0.5639549559
371	0.5638227226
372	0.5633060346
373	0.5629204497
374	0.5622702434
375	0.5617676954
376	0.5614533227
377	0.561055338
378	0.5604506319
379	0.5598085398
380	0.5595579999
381	0.5590589085
382	0.5588978
383	0.558036486
384	0.5576626378
385	0.5573303726
386	0.55689733
387	0.5564106662
388	0.5561121298
389	0.5554146524
390	0.5550207809
391	0.5546367754
392	0.5542176526
393	0.5536044677
394	0.5530953895
395	0.5525654382
396	0.552016099
397	0.5513914394
398	0.5509888776
399	0.5497061373
400	0.5493494746
401	0.5487634151
402	0.5483163012
403	0.5479840078
404	0.5473947513
405	0.5470319946
406	0.5464686774
407	0.545723503
408	0.5454553607
409	0.5452973928
410	0.5448623357
411	0.5442862178
412	0.5440960508
413	0.5437392418
414	0.5434738919
415	0.5430176047
416	0.5426359991
417	0.542444423
418	0.5419127662
419	0.5416083988
420	0.5409111863
421	0.5406019967
422	0.5402875546
423	0.539971156
424	0.5392826041
425	0.5388647091
426	0.5384296779
427	0.5378683349
428	0.5374604688
429	0.5368458985
430	0.5363165199
431	0.5360706576
432	0.5356437434
433	0.535438216
434	0.5351724339
435	0.5347148664
436	0.5343035941
437	0.5335253537
438	0.5327025512
439	0.5322816573
440	0.531922288
441	0.5312578833
442	0.5306637393
443	0.5301408372
444	0.5299411334
445	0.5297528551
446	0.5294312123
447	0.5290719242
448	0.5285961362
449	0.5281826112
450	0.527928101
451	0.527509968
452	0.5270417399
453	0.5263905526
454	0.5258404527
455	0.5254751702
456	0.5249271005
457	0.5243021187
458	0.5236354015
459	0.5231369237
460	0.5226908025
461	0.52225213
462	0.5218590388
463	0.521330991
464	0.521050756
465	0.5204951079
466	0.5200184399
467	0.5193036419
468	0.5190213715
469	0.5186699515
470	0.5181507898
471	0.5179898235
472	0.517630617
473	0.5171558727
474	0.5166290136
475	0.5161869108
476	0.5157300319
477	0.5151330928
478	0.514747166
479	0.5143084674
480	0.5138016474
481	0.5135248057
482	0.5129791087
483	0.5121662598
484	0.511576402
485	0.5110070849
486	0.5105302544
487	0.5104050196
488	0.5097142784
489	0.5094402742
490	0.5092287986
491	0.5086805199
492	0.5082512978
493	0.5079166524
494	0.5075431376
495	0.5070032592
496	0.506726445
497	0.5062152241
498	0.5059434917
499	0.5055227586
500	0.5052556737
501	0.5049334925
502	0.5046077725
503	0.5044059888
504	0.5041070068
505	0.5036565634
506	0.5031068188
507	0.5023786196
508	0.5018490463
509	0.5012786623
510	0.5006631124
511	0.5003996945
512	0.5001106524
513	0.4997905236
514	0.4993656258
515	0.499182926
516	0.4986289996
517	0.498372668
518	0.4982860011
519	0.4980521991
520	0.497875582
521	0.4976429695
522	0.4973899766
523	0.4970389125
524	0.496613522
525	0.4963141235
526	0.4960986599
527	0.495719892
528	0.4952941686
529	0.4946109149
530	0.4943118495
531	0.4938268658
532	0.4934706293
533	0.4931825004
534	0.4924538325
535	0.4919590287
536	0.4913481257
537	0.4910283227
538	0.4904843211
539	0.4903796274
540	0.4898469736
541	0.489423606
542	0.4892109413
543	0.4886207058
544	0.488421919
545	0.4877816511
546	0.4874050517
547	0.487046321
548	0.4867921392
549	0.4865147284
550	0.4858691381
551	0.4853911465
552	0.4851597309
553	0.4848556202
554	0.4844944773
555	0.4842245172
556	0.4840764599
557	0.4837518058
558	0.4833616214
559	0.4829391826
560	0.4826837867
561	0.482424666
562	0.4820247821
563	0.4817180587
564	0.4812796154
565	0.4809580287
566	0.4806911698
567	0.4803057853
568	0.4800701443
569	0.4795502518
570	0.479254951
571	0.4788368548
572	0.4785189769
573	0.4782200192
574	0.4776082843
575	0.4772140339
576	0.476838066
577	0.4765741112
578	0.4762196833
579	0.4759345272
580	0.4754785373
581	0.4751906702
582	0.4745760271
583	0.4744937413
584	0.4742076458
585	0.4736938317
586	0.4734005288
587	0.4730533721
588	0.4724616183
589	0.4721050447
590	0.4719321288
591	0.4715717397
592	0.4712934673
593	0.4708319989
594	0.4706506273
595	0.4704378727
596	0.4700458893
597	0.4697068002
598	0.4691083334
599	0.4684858307
600	0.4682791556
601	0.4681106607
602	0.4677784614
603	0.4674372839
604	0.4670975042
605	0.46675108
606	0.4663132808
607	0.4658646289
608	0.4655408313
609	0.4650729945
610	0.464882662
611	0.4643342238
612	0.4639307069
613	0.4634902147
614	0.4633142351
615	0.4630223695
616	0.4624290024
617	0.4621774639
618	0.4619426199
619	0.4615955778
620	0.4613060301
621	0.4608578054
622	0.4605733872
623	0.4602761562
624	0.4597164163
625	0.4594962518
626	0.4593150621
627	0.4590272215
628	0.458691633
629	0.4584268713
630	0.4580532634
631	0.4576111218
632	0.4570580177
633	0.4567427314
634	0.4564668791
635	0.4562241174
636	0.455827925
637	0.4555600146
638	0.4552441921
639	0.4551434436
640	0.4548278835
641	0.4546193622
642	0.4544334211
643	0.4540291437
644	0.4535322374
645	0.4532078078
646	0.4528844813
647	0.452438181
648	0.452194623
649	0.451794447
650	0.4513873709
651	0.4510934449
652	0.450450202
653	0.4501221466
654	0.449650722
655	0.4491852065
656	0.4488397703
657	0.4485939941
658	0.4481645348
659	0.4476774219
660	0.4472300285
661	0.4469712722
662	0.4466076353
663	0.4462900099
664	0.4458564474
665	0.4456156659
666	0.444970357
667	0.4446766433
668	0.4445562928
669	0.4443126926
670	0.4439881723
671	0.4438073018
672	0.443602216
673	0.4433555019
674	0.443133295
675	0.4429509632
676	0.4426988193
677	0.4424934737
678	0.4422156598
679	0.4420301458
680	0.441597044
681	0.4412277541
682	0.4407611815
683	0.4404199031
684	0.4402861064
685	0.4398184577
686	0.4396657496
687	0.4395250951
688	0.4392713818
689	0.4390046261
690	0.438624935
691	0.4384011134
692	0.4379568664
693	0.4377721355
694	0.4371193789
695	0.4369497187
696	0.4366477777
697	0.4364937932
698	0.4358447985
699	0.435678773
700	0.4355140635
701	0.4352260002
702	0.4350694456
703	0.4349544428
704	0.4347943897
705	0.4345339555
706	0.4341037378
707	0.4336924747
708	0.43345559
709	0.4332996144
710	0.432842593
711	0.432555192
712	0.4323333106
713	0.4320132392
714	0.4315736256
715	0.4314568271
716	0.4312986625
717	0.4307284823
718	0.4304317596
719	0.4302385781
720	0.4298138659
721	0.4295502893
722	0.4293435033
723	0.4292185983
724	0.4289064943
725	0.4284055619
726	0.4282342602
727	0.4276150853
728	0.4273512932
729	0.4271079275
730	0.4267602348
731	0.4263852689
732	0.4261703173
733	0.4259526398
734	0.4257651173
735	0.425553853
736	0.4252119163
737	0.4249659101
738	0.4246628362
739	0.4241201532
740	0.4238696858
741	0.4235194276
742	0.4232555492
743	0.423050414
744	0.4228814915
745	0.4225372526
746	0.422329379
747	0.4221009141
748	0.4219470281
749	0.4217401837
750	0.4215456991
751	0.4212826388
752	0.4210627695
753	0.420778468
754	0.4206065121
755	0.4203651773
756	0.4201630306
757	0.4200331588
758	0.4197867528
759	0.4195389535
760	0.4194149624
761	0.4191209592
762	0.4188566428
763	0.4184878066
764	0.4181798854
765	0.41800503
766	0.4176773518
767	0.4175573874
768	0.4171966072
769	0.4170076013
770	0.4167507098
771	0.4164613097
772	0.4161572738
773	0.4157551166
774	0.415605183
775	0.4154392318
776	0.4151700224
777	0.4149528816
778	0.4145186243
779	0.4143629585
780	0.4141087885
781	0.4137618551
782	0.413657223
783	0.4133310842
784	0.4130599478
785	0.4128225401
786	0.41264038
787	0.4121747529
788	0.4119487272
789	0.4114233335
790	0.4112137528
791	0.4111269613
792	0.4108361041
793	0.4105176861
794	0.4101942322
795	0.409845106
796	0.4095309899
797	0.4091996145
798	0.4089993414
799	0.4086356436
800	0.408470211
801	0.4081665803
802	0.407862702
803	0.4077467246
804	0.4073346902
805	0.4071122703
806	0.4067928749
807	0.406587749
808	0.4062473028
809	0.4060039743
810	0.4056637279
811	0.4055310777
812	0.4054331454
813	0.4051669216
814	0.4049096091
815	0.4047339266
816	0.4042892051
817	0.4041432084
818	0.4039055805
819	0.4036502338
820	0.4033296475
821	0.4031483615
822	0.4029240573
823	0.4026567457
824	0.4023692318
825	0.4022112653
826	0.4019183422
827	0.4016788664
828	0.4014237983
829	0.4011062042
830	0.4008066328
831	0.4006244315
832	0.4004799609
833	0.4003638601
834	0.3999700896
835	0.3997027821
836	0.3994808882
837	0.3993465705
838	0.399040487
839	0.398817318
840	0.3984828382
841	0.3981894944
842	0.3980426396
843	0.3975874812
844	0.3973565353
845	0.3967999527
846	0.3963091554
847	0.3959436061
848	0.3955982521
849	0.3953852824
850	0.3952824041
851	0.3950860478
852	0.3947931001
853	0.3945581459
854	0.3943564197
855	0.3940993944
856	0.3939626661
857	0.3938388591
858	0.3936435768
859	0.3932892739
860	0.3931164559
861	0.3925469955
862	0.3924259381
863	0.3922750034
864	0.3920803399
865	0.3919643965
866	0.3916961576
867	0.3914889318
868	0.3913053724
869	0.3911171179
870	0.3909790088
871	0.3908124798
872	0.3906088887
873	0.3903941865
874	0.3903322566
875	0.3900290204
876	0.3898013971
877	0.3895841533
878	0.3894300416
879	0.389142676
880	0.3889057684
881	0.3886131474
882	0.3883857523
883	0.388106738
884	0.3880035633
885	0.3877063205
886	0.3874420252
887	0.387198947
888	0.3870341316
889	0.3868297006
890	0.3865531942
891	0.3863741592
892	0.3860130978
893	0.3856469567
894	0.3854678219
895	0.385289658
896	0.385084493
897	0.3849414128
898	0.3847731903
899	0.3842410774
900	0.3841092511
901	0.3839094663
902	0.3835117835
903	0.3832491874
904	0.3830690075
905	0.3827990577
906	0.3826112804
907	0.3823141887
908	0.3820484695
909	0.3817486463
910	0.3814714117
911	0.3812878048
912	0.3807418857
913	0.3804699944
914	0.3801627481
915	0.3799374247
916	0.379860027
917	0.3796691337
918	0.3794801312
919	0.3793434957
920	0.3789331617
921	0.3786250859
922	0.3783778262
923	0.3781824408
924	0.3778659606
925	0.37756956
926	0.3771017083
927	0.3768027752
928	0.3765652735
929	0.3764198746
930	0.376251802
931	0.3759486171
932	0.3756451814
933	0.3754386274
934	0.3752830278
935	0.375072241
936	0.3748587746
937	0.3746684168
938	0.3743900391
939	0.3742484237
940	0.3740252725
941	0.373917448
942	0.3737519208
943	0.3735454935
944	0.373359992
945	0.3732266682
946	0.3729777836
947	0.3727279644
948	0.3724228177
949	0.3721635347
950	0.3718516092
951	0.3716626582
952	0.3712437798
953	0.3710670397
954	0.3708504851
955	0.3706099768
956	0.3704014144
957	0.3702036292
958	0.3700116502
959	0.3697180422
960	0.3695947188
961	0.3693756259
962	0.3691887508
963	0.3690650934
964	0.3688771107
965	0.3685655087
966	0.36835918
967	0.3681264621
968	0.367850087
969	0.3677093513
970	0.3675807534
971	0.3674394841
972	0.3672558696
973	0.3670875703
974	0.3667867974
975	0.3665008893
976	0.3663283173
977	0.3661062932
978	0.3657939527
979	0.3655582136
980	0.3655001403
981	0.3652848049
982	0.3651878518
983	0.3650271516
984	0.3647871329
985	0.364562079
986	0.3644287682
987	0.3642274214
988	0.3640584413
989	0.3637621416
990	0.3636351201
991	0.3635311835
992	0.3634142382
993	0.3631754285
994	0.3630564382
995	0.3627488575
996	0.3625459904
997	0.3622831048
998	0.3621646734
999	0.3619471325
